ind	marker	a1_count	a2_count	called_geno	a1_corr	a2_corr
OkeCC19MILC_0001	Oke_RAD11928_30	780	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD11999_36	440	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD12038_34	513	548	HET	0	0
OkeCC19MILC_0001	Oke_RAD12294_71	3	721	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD12377_41	156	179	HET	0	0
OkeCC19MILC_0001	Oke_RAD12415_71	1	837	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD12909_51	0	322	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD13522_47	2	717	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD14303_73	1999	5	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD14679_56	532	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD14852_56	206	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD14962_45	177	193	HET	0	0
OkeCC19MILC_0001	Oke_RAD16205_61	165	136	HET	0	0
OkeCC19MILC_0001	Oke_RAD1635_77	458	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD16763_78	1	480	A2HOM	0	0.5
OkeCC19MILC_0001	Oke_RAD16805_31	1	534	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD17085_70	169	191	HET	0	0
OkeCC19MILC_0001	Oke_RAD17316_60	0	517	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD17332_67	284	247	HET	0	0.25
OkeCC19MILC_0001	Oke_RAD19121_72	465	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD19883_47	425	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD21307_43	3	877	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD2158_44	247	184	HET	0	0
OkeCC19MILC_0001	Oke_RAD22662_43	0	560	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD2414_54	532	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD24191_34	638	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD2522_75	0	456	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD27585_82	0	753	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD27616_72	621	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD2772_76	490	0	A1HOM	0	0.25
OkeCC19MILC_0001	Oke_RAD2812_43	407	0	A1HOM	0.25	0
OkeCC19MILC_0001	Oke_RAD2827_56	496	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD3131_64	1189	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD3143_30	421	206	HET	2	0
OkeCC19MILC_0001	Oke_RAD3223_33	312	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD3480_76	430	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD3664_73	1	530	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD3693_30	3	390	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD369_38	0	315	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD3715_76	0	544	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD3762_78	566	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD3861_38	1	345	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD3907_37	405	384	HET	0	0
OkeCC19MILC_0001	Oke_RAD3938_71	0	393	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD3995_44	0	730	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD4286_77	327	327	HET	0	0
OkeCC19MILC_0001	Oke_RAD4538_78	272	301	HET	0	0.25
OkeCC19MILC_0001	Oke_RAD4787_63	0	619	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD4875_62	1	441	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD5156_68	624	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD5276_66	0	545	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD5434_50	194	187	HET	0	0
OkeCC19MILC_0001	Oke_RAD5457_49	924	910	HET	0	0
OkeCC19MILC_0001	Oke_RAD5615_34	0	506	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD5734_46	640	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD5951_44	0	305	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD7067_53	254	230	HET	0	0
OkeCC19MILC_0001	Oke_RAD715_49	220	192	HET	0	0
OkeCC19MILC_0001	Oke_RAD7431_40	2	636	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD7512_33	663	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD7883_49	0	808	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD7936_41	548	589	HET	0	0
OkeCC19MILC_0001	Oke_RAD8018_38	104	74	HET	0	0
OkeCC19MILC_0001	Oke_RAD8326_32	0	575	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD8335_79	1	1377	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD8372_31	1	595	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD8698_82	1116	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD8799_30	0	538	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD8814_56	289	277	HET	0	0
OkeCC19MILC_0001	Oke_RAD8930_48	292	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD905_85	556	27	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD9273_49	419	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD9447_73	1	674	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW10186_42	1	323	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW112_17	1101	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW13161_74	381	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW13803_76	0	371	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW14498_66	374	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW14591_59	234	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW14903_53	925	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW15717_46	1	567	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW16518_29	6504	3	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW16781_68	638	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW16886_37	286	189	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW17423_60	743	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW17478_56	381	357	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW18411_78	0	517	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW19534_51	328	318	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW19665_62	369	368	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW19805_61	346	370	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW19807_50	303	298	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW19817_73	3	666	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW19905_31	340	345	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW20179_61	154	156	HET	0	0.25
OkeCC19MILC_0001	Oke_RDDFW20811_77	7	851	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW20999_31	294	374	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW21285_59	492	515	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW21890_73	334	316	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW23444_56	190	219	HET	0	0.25
OkeCC19MILC_0001	Oke_RDDFW24615_60	209	194	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW24690_58	1	592	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW25476_76	2	420	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW25539_63	664	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW27843_66	573	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW28182_57	349	310	HET	0.35	0
OkeCC19MILC_0001	Oke_RDDFW28560_20	289	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW29139_38	629	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW29994_56	736	3	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW30681_49	462	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW32214_64	408	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW35061_72	312	326	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW36545_52	279	350	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW36920_78	182	153	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW37304_51	0	379	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW37547_71	668	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW37906_35	0	303	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW37977_64	1	303	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW38189_70	336	310	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW38998_48	550	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW39056_71	1346	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW39550_74	735	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW41741_28	476	17	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW41894_64	236	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW41968_67	0	471	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW44691_36	691	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW45450_75	0	315	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW46094_46	167	197	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW4669_39	201	258	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW46886_62	249	222	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW47500_38	465	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW47666_40	294	351	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW47763_68	826	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW47838_76	541	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW48220_71	733	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW48558_66	347	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW48576_24	493	4	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW48705_55	549	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW49372_62	332	345	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW50553_28	660	0	A1HOM	0	0.35
OkeCC19MILC_0001	Oke_RDDFW50712_39	1212	141	NA	0	0
OkeCC19MILC_0001	Oke_RDDFW51270_33	567	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW51705_44	4	625	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW52567_35	434	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW52773_67	2	390	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW53380_67	0	288	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW54241_69	430	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW57028_36	236	232	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW57213_78	244	248	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW58551_52	686	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW58967_48	1	240	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW59084_41	302	239	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW59113_30	275	307	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW6089_75	2	1143	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW61097_36	509	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW61270_26	153	153	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW61351_74	0	821	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW61394_55	425	12	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW62184_66	661	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW63326_23	381	5	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW63766_37	0	474	A2HOM	0	0.25
OkeCC19MILC_0001	Oke_RDDFW64078_73	652	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW64969_46	219	219	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW65679_48	187	132	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW65809_61	426	489	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW65817_59	455	464	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW6606_46	2	708	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW66307_18	908	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW66740_41	398	370	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW67033_73	233	274	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW6714_54	378	361	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW67894_45	297	273	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW68590_61	512	470	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW6872_56	0	547	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW69367_28	0	972	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW69501_76	424	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW69741_55	769	3	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW69778_62	2	423	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW69792_54	697	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW70556_28	0	342	A2HOM	0.5	0
OkeCC19MILC_0001	Oke_RDDFW70829_40	0	674	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW70902_20	452	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW71171_55	0	664	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW71319_78	382	332	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW71747_19	7	570	A2HOM	0	1
OkeCC19MILC_0001	Oke_RDDFW71866_73	442	0	A1HOM	0	0.5
OkeCC19MILC_0001	Oke_RDDFW72082_30	535	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW72091_54	1	692	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW72178_38	165	138	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW72464_65	0	705	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW72515_22	253	223	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW72580_61	117	144	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW73626_31	337	0	A1HOM	0	0.25
OkeCC19MILC_0001	Oke_RDDFW73828_41	953	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW74107_70	3	576	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW75268_70	127	136	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW75348_40	0	745	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW76878_51	559	25	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW78157_36	0	513	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW78789_24	452	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW80059_43	1	695	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW80154_68	1	1024	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW80662_52	0	472	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW89343_75	1	657	A2HOM	0	0.25
OkeCC19MILC_0001	Oke_RDDFW89357_49	427	400	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW89443_55	285	290	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW90259_25	585	3	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW90437_74	153	119	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW91049_44	1	0	NA	0	0
OkeCC19MILC_0001	Oke_RDDFW91108_63	632	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW9156_37	302	0	A1HOM	0	0.25
OkeCC19MILC_0001	Oke_RDDFW92495_48	3	683	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW92671_68	929	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW92833_41	651	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW93115_22	657	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW93316_60	0	748	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW945_50	704	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW94768_76	617	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW95768_60	369	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW96549_63	1	496	A2HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW97046_68	451	447	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW97566_28	404	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW97971_30	489	432	HET	0	0
OkeCC19MILC_0001	Oke_RDDFW98640_53	277	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RDDFW9886_52	2	1428	A2HOM	0	0
OkeCC19MILC_0001	Oke_RFC2_618	554	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RH1op_245	566	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RS9_379	457	3	A1HOM	0	0
OkeCC19MILC_0001	Oke_RSPRY1_106	0	552	A2HOM	0	0
OkeCC19MILC_0001	Oke_TCP1_78	269	260	HET	0	0
OkeCC19MILC_0001	Oke_TCTA_99	461	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1002_165	784	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1002_262	1	608	A2HOM	0	0
OkeCC19MILC_0001	Oke_U1008_83	2	279	A2HOM	0	0
OkeCC19MILC_0001	Oke_U1015_255	1	495	A2HOM	0	0
OkeCC19MILC_0001	Oke_U1017_52	652	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1019_218	326	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1020_75	0	521	A2HOM	0	0
OkeCC19MILC_0001	Oke_U1021_102	1	510	A2HOM	0	0
OkeCC19MILC_0001	Oke_U1023_147	349	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1024_113	409	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U1028_100	287	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2001_629	863	0	A1HOM	2	0
OkeCC19MILC_0001	Oke_U2003_142	745	4	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2005_62	342	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2006_109	30	291	NA	0	0
OkeCC19MILC_0001	Oke_U2010_94	874	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2011_107	1172	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2016_118	0	531	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2017_87	0	519	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2019_112	462	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2020_51	1	494	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2022_101	501	0	A1HOM	2	0
OkeCC19MILC_0001	Oke_U2024_93	298	261	HET	0	0
OkeCC19MILC_0001	Oke_U2025_86	0	567	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2026_64	318	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2029_79	1	666	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2031_37	740	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2032_74	3	533	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2033_122	292	333	HET	0	0
OkeCC19MILC_0001	Oke_U2034_55	0	386	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2035_54	270	251	HET	0	0
OkeCC19MILC_0001	Oke_U2037_76	529	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2041_84	226	122	HET	0	0
OkeCC19MILC_0001	Oke_U2043_51	524	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2045_43	437	441	HET	0	0
OkeCC19MILC_0001	Oke_U2048_91	301	327	HET	0	0
OkeCC19MILC_0001	Oke_U2049_99	507	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2053_60	1	612	A2HOM	0	0
OkeCC19MILC_0001	Oke_U2054_58	481	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2056_90	563	4	A1HOM	0	0
OkeCC19MILC_0001	Oke_U2057_80	375	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_U305_307	253	272	HET	0	0
OkeCC19MILC_0001	Oke_U504_228	598	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U506_110	499	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_U507_087	1288	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_U507_286	0	370	A2HOM	0	0
OkeCC19MILC_0001	Oke_U509_219	568	341	HET	0	0.75
OkeCC19MILC_0001	Oke_U511_271	570	0	A1HOM	2	0
OkeCC19MILC_0001	Oke_U514_150	716	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_arf_319	807	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_brd2_118	0	689	A2HOM	0	0
OkeCC19MILC_0001	Oke_brp16_65	189	144	HET	0	0
OkeCC19MILC_0001	Oke_ccd16_77	0	691	A2HOM	0	0
OkeCC19MILC_0001	Oke_cjo57_86	619	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_ctgf_105	565	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_e2ig5_50	0	472	A2HOM	0	0
OkeCC19MILC_0001	Oke_eif4ebp2_64	0	655	A2HOM	0	0
OkeCC19MILC_0001	Oke_eif4g1_43	0	413	A2HOM	0	0
OkeCC19MILC_0001	Oke_f5_71	333	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_glrx1_78	1	293	A2HOM	0	0
OkeCC19MILC_0001	Oke_hsc71_199	803	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_il_1racp_67	588	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_lactb2_71	310	265	HET	0	0
OkeCC19MILC_0001	Oke_mcfd2_86	3	874	A2HOM	0	0
OkeCC19MILC_0001	Oke_mgll_49	205	258	HET	0	0
OkeCC19MILC_0001	Oke_nc2b_148	260	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_ndub3_58	396	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_pgap_92	370	317	HET	0	0
OkeCC19MILC_0001	Oke_pnrc2_78	361	370	HET	0	0
OkeCC19MILC_0001	Oke_psmd9_057	887	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_psmd9_188	2	501	A2HOM	0	0
OkeCC19MILC_0001	Oke_rab5a_117	787	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_ras1_249	647	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_serpin_140	274	246	HET	0	0
OkeCC19MILC_0001	Oke_slc1a3a_86	421	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_sylc_90	0	366	A2HOM	0	0
OkeCC19MILC_0001	Oke_thic_84	326	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_txnrd1_74	0	504	A2HOM	0	0
OkeCC19MILC_0001	Oke_u1_519	10	688	A2HOM	0	0
OkeCC19MILC_0001	Oke_u200_385	231	251	HET	0	0
OkeCC19MILC_0001	Oke_u216_222	280	0	A1HOM	0	0
OkeCC19MILC_0004	Oke_ACOT_100	575	0	A1HOM	0	0
OkeCC19MILC_0004	Oke_APOB_60	1	432	A2HOM	0	0
OkeCC19MILC_0004	Oke_ATP5L_105	255	243	HET	0	0
OkeCC19MILC_0004	Oke_AhR1_278	656	0	A1HOM	0	0
OkeCC19MILC_0004	Oke_CATB_60	464	0	A1HOM	0	0
OkeCC19MILC_0004	Oke_CD123_62	2	700	A2HOM	0	0
OkeCC19MILC_0004	Oke_CKS1_70	607	0	A1HOM	0	0
OkeCC19MILC_0004	Oke_CKS_389	273	261	HET	0	0
OkeCC19MILC_0004	Oke_CO1A1_72	2	361	A2HOM	0	1.5
OkeCC19MILC_0004	Oke_CTR2_82	1	663	A2HOM	0	0
